price,is_weekend_holiday,hour,day_of_week,month,is_dst
60.98,True,20,6,1,False
61.99,True,21,6,1,False
60.98,True,22,6,1,False
56.37,False,0,0,1,False
46.18,False,1,0,1,False
45.13,False,2,0,1,False
45.09,False,3,0,1,False
46.0,False,4,0,1,False
47.95,False,5,0,1,False
57.79,False,6,0,1,False
59.42,False,7,0,1,False
58.99,False,8,0,1,False
58.99,False,9,0,1,False
59.01,False,10,0,1,False
58.19,False,11,0,1,False
56.37,False,12,0,1,False
55.39,False,13,0,1,False
54.23,False,14,0,1,False
54.14,False,15,0,1,False
54.04,False,16,0,1,False
54.14,False,17,0,1,False
58.19,False,18,0,1,False
59.58,False,19,0,1,False
59.8,False,20,0,1,False
59.25,False,21,0,1,False
54.63,False,22,0,1,False
48.01,False,0,1,1,False
44.1,False,1,1,1,False
41.2,False,2,1,1,False
41.06,False,3,1,1,False
41.2,False,4,1,1,False
43.6,False,5,1,1,False
48.01,False,6,1,1,False
55.39,False,7,1,1,False
57.0,False,8,1,1,False
58.58,False,9,1,1,False
58.87,False,10,1,1,False
58.75,False,11,1,1,False
58.58,False,12,1,1,False
58.39,False,13,1,1,False
58.19,False,14,1,1,False
57.79,False,15,1,1,False
56.37,False,16,1,1,False
58.19,False,17,1,1,False
58.99,False,18,1,1,False
60.07,False,19,1,1,False
60.19,False,20,1,1,False
59.69,False,21,1,1,False
58.01,False,22,1,1,False
58.78,False,0,2,1,False
55.39,False,1,2,1,False
51.13,False,2,2,1,False
48.46,False,3,2,1,False
48.46,False,4,2,1,False
50.82,False,5,2,1,False
55.39,False,6,2,1,False
58.01,False,7,2,1,False
58.99,False,8,2,1,False
59.26,False,9,2,1,False
59.25,False,10,2,1,False
58.67,False,11,2,1,False
58.39,False,12,2,1,False
59.0,False,13,2,1,False
58.39,False,14,2,1,False
58.19,False,15,2,1,False
57.98,False,16,2,1,False
57.07,False,17,2,1,False
58.99,False,18,2,1,False
60.13,False,19,2,1,False
60.61,False,20,2,1,False
60.37,False,21,2,1,False
59.25,False,22,2,1,False
60.0,False,0,3,2,False
57.79,False,1,3,2,False
55.31,False,2,3,2,False
50.96,False,3,3,2,False
47.07,False,4,3,2,False
46.0,False,5,3,2,False
54.0,False,6,3,2,False
59.37,False,7,3,2,False
60.77,False,8,3,2,False
60.61,False,9,3,2,False
60.17,False,10,3,2,False
59.25,False,11,3,2,False
57.3,False,12,3,2,False
55.04,False,13,3,2,False
46.88,False,14,3,2,False
44.99,False,15,3,2,False
44.68,False,16,3,2,False
46.32,False,17,3,2,False
53.81,False,18,3,2,False
58.19,False,19,3,2,False
59.37,False,20,3,2,False
58.87,False,21,3,2,False
55.1,False,22,3,2,False
44.9,False,0,4,2,False
41.6,False,1,4,2,False
40.55,False,2,4,2,False
39.5,False,3,4,2,False
39.25,False,4,4,2,False
39.5,False,5,4,2,False
41.73,False,6,4,2,False
54.23,False,7,4,2,False
58.29,False,8,4,2,False
58.59,False,9,4,2,False
58.1,False,10,4,2,False
54.65,False,11,4,2,False
54.49,False,12,4,2,False
52.04,False,13,4,2,False
45.2,False,14,4,2,False
44.1,False,15,4,2,False
44.61,False,16,4,2,False
51.37,False,17,4,2,False
57.65,False,18,4,2,False
60.05,False,19,4,2,False
60.61,False,20,4,2,False
60.17,False,21,4,2,False
58.99,False,22,4,2,False
58.39,True,0,5,2,False
54.1,True,1,5,2,False
45.1,True,2,5,2,False
43.84,True,3,5,2,False
43.57,True,4,5,2,False
43.39,True,5,5,2,False
43.64,True,6,5,2,False
44.35,True,7,5,2,False
44.1,True,8,5,2,False
50.28,True,9,5,2,False
55.01,True,10,5,2,False
51.07,True,11,5,2,False
46.96,True,12,5,2,False
46.95,True,13,5,2,False
44.35,True,14,5,2,False
43.57,True,15,5,2,False
43.39,True,16,5,2,False
47.38,True,17,5,2,False
50.54,True,18,5,2,False
58.19,True,19,5,2,False
58.99,True,20,5,2,False
58.59,True,21,5,2,False
55.1,True,22,5,2,False
50.28,True,0,6,2,False
44.55,True,1,6,2,False
43.97,True,2,6,2,False
43.4,True,3,6,2,False
43.4,True,4,6,2,False
43.9,True,5,6,2,False
44.01,True,6,6,2,False
44.35,True,7,6,2,False
44.35,True,8,6,2,False
52.01,True,9,6,2,False
57.98,True,10,6,2,False
58.09,True,11,6,2,False
57.02,True,12,6,2,False
58.19,True,13,6,2,False
57.98,True,14,6,2,False
54.47,True,15,6,2,False
52.55,True,16,6,2,False
54.1,True,17,6,2,False
58.29,True,18,6,2,False
59.82,True,19,6,2,False
62.02,True,20,6,2,False
62.1,True,21,6,2,False
59.81,True,22,6,2,False
58.09,False,0,0,2,False
49.59,False,1,0,2,False
44.78,False,2,0,2,False
44.35,False,3,0,2,False
44.35,False,4,0,2,False
44.35,False,5,0,2,False
49.33,False,6,0,2,False
59.35,False,7,0,2,False
60.81,False,8,0,2,False
62.62,False,9,0,2,False
62.02,False,10,0,2,False
60.77,False,11,0,2,False
59.42,False,12,0,2,False
59.31,False,13,0,2,False
57.5,False,14,0,2,False
53.56,False,15,0,2,False
53.4,False,16,0,2,False
56.93,False,17,0,2,False
58.99,False,18,0,2,False
60.57,False,19,0,2,False
61.81,False,20,0,2,False
60.77,False,21,0,2,False
58.55,False,22,0,2,False
45.5,False,0,1,2,False
44.35,False,1,1,2,False
43.53,False,2,1,2,False
42.06,False,3,1,2,False
42.05,False,4,1,2,False
43.03,False,5,1,2,False
44.69,False,6,1,2,False
56.77,False,7,1,2,False
62.51,False,8,1,2,False
62.09,False,9,1,2,False
60.07,False,10,1,2,False
58.75,False,11,1,2,False
55.06,False,12,1,2,False
54.1,False,13,1,2,False
52.91,False,14,1,2,False
51.62,False,15,1,2,False
53.75,False,16,1,2,False
60.21,False,17,1,2,False
62.48,False,18,1,2,False
62.36,False,19,1,2,False
62.09,False,20,1,2,False
61.87,False,21,1,2,False
58.99,False,22,1,2,False
48.25,False,0,2,2,False
44.69,False,1,2,2,False
44.19,False,2,2,2,False
44.03,False,3,2,2,False
43.69,False,4,2,2,False
43.53,False,5,2,2,False
47.18,False,6,2,2,False
59.21,False,7,2,2,False
62.62,False,8,2,2,False
63.9,False,9,2,2,False
62.62,False,10,2,2,False
61.43,False,11,2,2,False
59.83,False,12,2,2,False
58.1,False,13,2,2,False
53.46,False,14,2,2,False
